V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12
1.16;1.00;1.11;0.29;0.16;0.36;0.43;0.28;0.52;0.91;0.68;0.93
0.91;0.86;0.88;0.32;0.21;0.38;0.44;0.32;0.51;0.75;0.63;0.77
0.92;0.90;0.92;0.28;0.22;0.39;0.39;0.32;0.52;0.74;0.65;0.80
0.98;0.97;0.98;0.32;0.24;0.42;0.46;0.37;0.57;0.81;0.71;0.86
1.16;1.01;1.13;0.21;0.11;0.29;0.50;0.28;0.59;0.95;0.66;0.98
0.92;0.87;0.89;0.24;0.15;0.30;0.48;0.32;0.54;0.76;0.62;0.79
0.82;0.79;0.83;0.17;0.12;0.27;0.35;0.24;0.48;0.65;0.52;0.73
0.99;0.98;0.99;0.23;0.17;0.34;0.50;0.37;0.62;0.81;0.68;0.89
1.16;1.01;1.13;0.31;0.16;0.42;0.51;0.27;0.61;1.01;0.70;1.02
0.92;0.88;0.89;0.34;0.22;0.41;0.48;0.31;0.54;0.80;0.65;0.82
0.74;0.72;0.76;0.22;0.14;0.33;0.32;0.20;0.43;0.62;0.48;0.68
0.99;0.99;0.99;0.34;0.24;0.47;0.50;0.35;0.62;0.86;0.71;0.92
